# canon_hash: 0590b719443d6302cb1d02f70d5f4c299bc4ebb27be6256e4eb385eb0e8936e5
# repro_hash: 53a297fb7b7e5e9f21d6d10f22b2195cb3482fde5751d0c6660aa21ebeff14d8
# output_digest: d888aac58cdbd266fa9b30b135d8eab536c4055f004dd5ae5673b6008da91a25
# preset: matter_only
# alpha_mem: 0.3333333333333333
# idx0: 299
# H0_code: 0.34156502601993227
z,H_code,E_z
0.4742897405625164,0.6780524664558684,1.9851343515957636
0.4689007046000968,0.6738505861967666,1.9728325058592024
0.46353136741723544,0.6696722627145677,1.9605996273034363
0.4581816570081194,0.6655173645606165,1.9484353310862095
0.4528515016301411,0.6613857610010472,1.936339234457955
0.44754082980293797,0.6572773220127792,1.9243109567500722
0.44224957030743184,0.6531919182795352,1.9123501193632677
0.43697765218487516,0.6491294211878781,1.9004563457559547
0.4317250047358989,0.6450897028232708,1.8886292614327151
0.42649155751956447,0.6410726359661549,1.8768684939328206
0.42127724035241965,0.6370780940880493,1.8651736728188093
0.41608198330755597,0.6331059513476701,1.8535444296651284
0.4109057167136725,0.6291560825870706,1.8419803980468297
0.40574837115414053,0.6252283633277997,1.8304812135283257
0.40060987746607357,0.6213226697670816,1.8190465136522025
0.39549016673939863,0.6174388787740145,1.807675937928093
0.3903891703159328,0.6135768678857885,1.7963691278216019
